frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
289,9.398,981.99,237.51,8015.00,nan,nan,nan,False
290,9.429,982.03,237.59,8080.00,nan,nan,nan,False
291,9.463,981.54,237.45,7997.50,nan,nan,nan,False
292,9.495,981.86,237.66,8094.50,nan,nan,nan,False
293,9.528,981.61,237.16,7991.00,nan,nan,nan,False
294,9.561,981.82,237.29,8022.00,nan,nan,nan,False
295,9.595,981.73,237.65,8074.00,nan,nan,nan,False
296,9.628,982.22,238.02,8058.00,nan,nan,nan,False
297,9.660,982.13,237.72,8096.50,nan,nan,nan,False
298,9.693,982.07,237.13,8002.50,nan,nan,nan,False
299,9.725,982.28,237.15,8456.00,nan,nan,nan,False
300,9.758,981.96,237.23,8055.50,nan,nan,nan,False
301,9.787,982.13,237.20,8009.50,nan,nan,nan,False
302,9.821,982.03,237.02,8085.00,nan,nan,nan,False
303,9.853,982.22,236.69,8024.00,nan,nan,nan,False
304,9.883,981.89,236.36,8076.00,nan,nan,nan,False
305,9.915,981.84,236.57,8076.00,nan,nan,nan,False
306,9.945,982.07,237.01,7997.50,nan,nan,nan,False
307,9.978,982.39,236.68,8155.00,nan,nan,nan,False
308,10.011,981.88,236.40,8080.00,nan,nan,nan,False
309,10.043,981.76,236.26,8080.50,nan,nan,nan,False
310,10.077,981.87,236.46,8091.50,nan,nan,nan,False
311,10.112,981.89,236.30,8024.00,nan,nan,nan,False
312,10.146,981.88,236.43,8085.00,nan,nan,nan,False
313,10.179,982.17,237.04,7981.50,nan,nan,nan,False
314,10.213,982.19,237.16,8021.00,nan,nan,nan,False
315,10.245,982.12,237.05,7989.00,nan,nan,nan,False
316,10.278,983.02,237.46,8342.50,nan,nan,nan,False
317,10.311,982.84,237.09,8157.00,nan,nan,nan,False
318,10.347,982.91,237.23,7927.00,nan,nan,nan,False
319,10.378,983.00,237.41,8379.00,nan,nan,nan,False
320,10.410,982.70,237.49,7939.00,nan,nan,nan,False
321,10.445,982.56,237.52,7951.00,nan,nan,nan,False
322,10.478,982.72,237.11,8080.50,nan,nan,nan,False
323,10.511,982.65,237.23,7847.50,nan,nan,nan,False
324,10.544,983.02,237.81,8313.50,nan,nan,nan,False
325,10.578,982.64,237.37,7896.50,nan,nan,nan,False
326,10.613,982.63,237.65,7937.00,nan,nan,nan,False
327,10.649,982.43,237.69,8025.50,nan,nan,nan,False
328,10.681,982.46,237.65,7923.50,nan,nan,nan,False
329,10.715,982.44,237.64,7906.50,nan,nan,nan,False
330,10.744,982.83,237.64,7852.50,nan,nan,nan,False
331,10.778,981.35,237.34,7701.50,nan,nan,nan,False
332,10.807,982.26,237.60,8028.00,nan,nan,nan,False
333,10.837,981.99,237.67,7912.50,nan,nan,nan,False
334,10.870,981.69,237.84,7832.00,nan,nan,nan,False
335,10.899,981.96,238.11,7815.00,nan,nan,nan,False
336,10.933,982.14,238.04,8291.00,nan,nan,nan,False
337,10.963,981.60,237.96,7888.50,nan,nan,nan,False
338,10.996,981.86,238.36,7816.50,nan,nan,nan,False
339,11.029,981.43,238.06,7785.50,nan,nan,nan,False
340,11.062,981.21,237.75,7726.50,nan,nan,nan,False
341,11.096,980.75,237.46,7724.00,nan,nan,nan,False
342,11.129,981.43,238.22,7930.50,nan,nan,nan,False
343,11.162,981.20,238.00,7767.00,nan,nan,nan,False
344,11.196,981.76,237.75,7684.00,nan,nan,nan,False
345,11.229,980.85,237.77,7826.50,nan,nan,nan,False
346,11.261,980.75,237.87,7801.50,nan,nan,nan,False
347,11.295,980.75,237.88,7916.50,nan,nan,nan,False
348,11.330,980.62,237.85,7778.00,nan,nan,nan,False
349,11.364,980.28,237.83,7852.00,nan,nan,nan,False
350,11.398,980.51,237.78,7812.50,nan,nan,nan,False
351,11.434,980.25,237.67,7836.00,nan,nan,nan,False
352,11.467,980.45,238.02,7904.50,nan,nan,nan,False
353,11.496,980.17,238.29,7778.50,nan,nan,nan,False
354,11.528,979.41,238.22,7802.50,nan,nan,nan,False
355,11.561,979.52,238.34,7855.00,nan,nan,nan,False
356,11.595,979.40,238.64,7742.00,nan,nan,nan,False
357,11.628,978.88,238.44,7771.50,nan,nan,nan,False
358,11.661,979.31,238.82,7738.00,nan,nan,nan,False
359,11.694,979.22,239.19,7788.00,nan,nan,nan,False
360,11.727,978.79,238.88,7707.00,nan,nan,nan,False
361,11.761,977.98,239.00,7746.50,nan,nan,nan,False
362,11.794,977.45,238.96,7871.00,nan,nan,nan,False
363,11.823,977.17,239.72,7726.00,nan,nan,nan,False
364,11.853,978.02,240.37,8007.00,nan,nan,nan,False
365,11.886,977.68,240.12,7551.50,nan,nan,nan,False
366,11.920,976.66,239.24,6937.00,nan,nan,nan,False
367,11.949,978.48,240.59,6970.00,nan,nan,nan,False
368,11.979,977.23,241.21,7617.00,nan,nan,nan,False
369,12.014,976.16,239.89,7697.00,nan,nan,nan,False
370,12.046,976.66,239.06,6910.00,nan,nan,nan,False
371,12.080,981.66,239.77,6881.00,nan,nan,nan,False
372,12.114,979.06,239.68,7158.00,nan,nan,nan,False
373,12.145,980.57,235.13,7241.50,nan,nan,nan,False
374,12.178,983.82,235.43,7069.00,nan,nan,nan,False
375,12.211,985.11,234.31,7725.00,nan,nan,nan,False
376,12.246,985.93,233.05,7612.00,nan,nan,nan,False
377,12.279,986.74,232.96,7300.50,nan,nan,nan,False
378,12.312,986.33,231.71,7680.50,nan,nan,nan,False
379,12.345,986.70,231.90,7721.50,nan,nan,nan,False
380,12.378,987.56,232.65,7722.50,nan,nan,nan,False
381,12.413,988.40,234.43,7656.00,nan,nan,nan,False
382,12.447,988.06,234.42,7868.50,nan,nan,nan,False
383,12.478,986.89,233.95,7679.50,nan,nan,nan,False
384,12.511,985.31,232.50,7660.00,nan,nan,nan,False
385,12.545,985.45,233.83,7765.50,nan,nan,nan,False
386,12.576,985.60,233.96,7771.00,nan,nan,nan,False
387,12.605,985.24,233.39,7887.00,nan,nan,nan,False
388,12.639,984.93,233.10,7718.50,nan,nan,nan,False
389,12.673,984.29,232.53,7695.00,nan,nan,nan,False
390,12.703,983.96,232.79,7769.00,nan,nan,nan,False
391,12.737,983.70,233.18,7730.00,nan,nan,nan,False
392,12.767,982.47,232.92,7185.00,nan,nan,nan,False
393,12.796,983.32,234.19,7828.00,nan,nan,nan,False
394,12.829,983.07,234.35,7815.50,nan,nan,nan,False
395,12.860,985.15,233.87,7780.00,nan,nan,nan,False
396,12.891,989.21,227.61,7581.50,nan,nan,nan,False
397,12.920,989.57,224.56,7487.50,nan,nan,nan,False
398,12.956,988.23,219.90,7006.50,nan,nan,nan,False
399,12.986,989.57,217.34,6934.00,nan,nan,nan,False
400,13.018,992.72,216.02,6966.50,nan,nan,nan,False
401,13.050,992.30,216.33,6993.50,nan,nan,nan,False
402,13.079,992.65,216.98,7089.50,nan,nan,nan,False
403,13.111,991.62,216.42,6965.00,nan,nan,nan,False
404,13.139,991.24,216.12,7012.50,nan,nan,nan,False
405,13.167,989.43,215.73,6467.00,nan,nan,nan,False
406,13.200,988.83,215.28,6431.50,nan,nan,nan,False
407,13.232,988.83,215.60,6478.50,nan,nan,nan,False
408,13.263,987.83,216.23,6454.00,nan,nan,nan,False
409,13.295,987.66,216.74,6452.50,nan,nan,nan,False
410,13.328,987.44,217.05,6487.50,nan,nan,nan,False
411,13.361,986.52,217.37,6352.50,nan,nan,nan,False
412,13.391,986.72,218.25,6532.50,nan,nan,nan,False
413,13.420,986.64,217.62,6975.50,nan,nan,nan,False
414,13.452,984.97,218.57,7033.00,nan,nan,nan,False
415,13.480,984.21,218.54,7033.00,nan,nan,nan,False
416,13.512,983.41,219.13,6527.50,nan,nan,nan,False
417,13.545,982.88,219.36,6708.00,nan,nan,nan,False
418,13.578,982.35,219.37,6540.00,nan,nan,nan,False
419,13.612,981.71,220.20,6506.00,nan,nan,nan,False
420,13.644,980.17,220.29,6491.00,nan,nan,nan,False
421,13.673,979.86,220.97,6519.00,nan,nan,nan,False
422,13.706,980.11,221.65,6761.00,nan,nan,nan,False
423,13.736,979.21,221.46,6634.50,nan,nan,nan,False
424,13.764,978.88,222.16,6707.00,nan,nan,nan,False
425,13.795,978.15,221.72,6659.50,nan,nan,nan,False
426,13.826,978.55,222.41,6505.00,nan,nan,nan,False
427,13.860,977.53,222.03,6788.00,nan,nan,nan,False
428,13.888,977.71,222.66,6562.50,nan,nan,nan,False
429,13.923,977.11,223.40,6598.50,nan,nan,nan,False
430,13.954,976.42,223.35,6773.50,nan,nan,nan,False
431,13.983,977.02,223.15,6578.00,nan,nan,nan,False
432,14.012,975.98,223.59,6843.50,nan,nan,nan,False
433,14.043,976.20,223.40,6537.50,nan,nan,nan,False
434,14.073,976.17,224.29,6582.50,nan,nan,nan,False
435,14.103,975.73,224.92,6593.50,nan,nan,nan,False
436,14.134,975.74,224.84,6595.50,nan,nan,nan,False
437,14.166,974.94,224.50,6852.50,nan,nan,nan,False
438,14.198,976.19,225.98,6620.50,nan,nan,nan,False
439,14.231,976.75,225.67,6623.50,nan,nan,nan,False
440,14.265,977.44,225.88,6826.00,nan,nan,nan,False
441,14.297,982.16,224.57,6823.00,nan,nan,nan,False
442,14.330,985.04,224.17,6971.00,nan,nan,nan,False
443,14.362,988.56,222.86,6735.00,nan,nan,nan,False
444,14.396,988.68,222.28,6627.50,nan,nan,nan,False
445,14.429,989.84,221.23,6698.00,nan,nan,nan,False
446,14.462,990.39,221.48,6684.50,nan,nan,nan,False
447,14.494,990.42,221.43,6844.00,nan,nan,nan,False
448,14.523,990.16,221.84,6770.00,nan,nan,nan,False
