frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
414,12.277,285.75,252.07,4212.50,nan,nan,nan,False
415,12.307,285.07,252.04,4245.00,nan,nan,nan,False
416,12.340,284.53,251.88,4008.00,nan,nan,nan,False
417,12.370,283.87,252.44,4084.00,nan,nan,nan,False
418,12.398,282.68,252.60,4065.00,nan,nan,nan,False
419,12.428,281.53,252.64,4076.50,nan,nan,nan,False
420,12.458,280.77,252.98,4075.00,nan,nan,nan,False
421,12.491,280.24,253.02,4082.00,nan,nan,nan,False
422,12.520,279.77,252.67,4151.00,nan,nan,nan,False
423,12.548,278.85,252.65,4080.00,nan,nan,nan,False
424,12.578,278.41,253.01,4094.00,nan,nan,nan,False
425,12.606,278.66,252.76,4055.50,nan,nan,nan,False
426,12.638,277.99,252.73,4049.50,nan,nan,nan,False
427,12.666,277.50,252.93,4062.50,nan,nan,nan,False
428,12.699,276.86,253.21,4071.50,nan,nan,nan,False
429,12.731,276.21,253.65,4054.50,nan,nan,nan,False
430,12.759,275.78,254.00,4068.00,nan,nan,nan,False
431,12.788,275.79,253.71,4042.50,nan,nan,nan,False
432,12.818,275.05,253.32,4106.50,nan,nan,nan,False
433,12.847,274.65,253.13,4042.50,nan,nan,nan,False
434,12.876,274.19,253.14,4054.50,nan,nan,nan,False
435,12.904,274.07,253.15,4087.00,nan,nan,nan,False
436,12.933,273.72,252.89,4092.50,nan,nan,nan,False
437,12.961,273.73,252.71,4115.00,nan,nan,nan,False
438,12.990,273.66,253.04,4089.00,nan,nan,nan,False
439,13.021,273.87,253.15,4077.50,nan,nan,nan,False
440,13.049,275.45,252.88,4091.00,nan,nan,nan,False
441,13.079,285.10,253.66,4139.50,nan,nan,nan,False
442,13.107,289.71,252.44,4157.50,nan,nan,nan,False
443,13.139,295.65,251.55,4033.50,nan,nan,nan,False
444,13.170,296.57,251.36,4121.00,nan,nan,nan,False
445,13.199,296.93,251.17,4150.00,nan,nan,nan,False
446,13.229,296.50,250.99,4135.00,nan,nan,nan,False
447,13.256,296.49,251.09,4145.50,nan,nan,nan,False
448,13.284,295.80,251.36,4162.50,nan,nan,nan,False
449,13.315,295.40,251.41,4164.00,nan,nan,nan,False
450,13.342,295.47,251.29,4168.00,nan,nan,nan,False
451,13.373,295.21,250.97,4198.00,nan,nan,nan,False
452,13.404,294.65,250.96,4229.00,nan,nan,nan,False
453,13.437,294.18,250.72,4200.50,nan,nan,nan,False
454,13.465,294.08,250.76,4173.00,nan,nan,nan,False
455,13.494,294.26,250.88,4211.00,nan,nan,nan,False
456,13.524,293.42,250.62,4254.50,nan,nan,nan,False
457,13.554,293.48,250.83,4265.00,nan,nan,nan,False
458,13.581,293.03,250.70,4225.50,nan,nan,nan,False
459,13.613,292.94,251.11,4269.50,nan,nan,nan,False
460,13.641,292.47,251.94,4256.50,nan,nan,nan,False
461,13.670,292.13,251.44,4227.50,nan,nan,nan,False
